Topic Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Anti-Corruption & Bribery,0,11,19598,41451,22246,134261,130891,359901,357039,232591,431373,541495,555434,448019,403302
Anti-Money Laundering,0,0,7,3380,17020,6331,31543,7293,13061,8280,6249,24349,11215,53508,38954
Competition,0,8205,44476,62122,239794,389386,341638,478195,595720,371233,370961,314950,345407,356063,439146
"Competition, Reporting & Investigations",0,0,0,0,0,0,0,0,0,0,0,0,0,14,535
Conflicts of Interest,7,5332,32917,84987,162381,202166,252459,257334,234847,207827,92701,179258,313610,264315,133525
"Conflicts of Interest, Government Contracting & Relationships",10,1380,1003,1480,2476,4563,6446,7435,8117,7628,16969,5350,18518,1769,4833
Corporate governance,1,34,242,24847,14156,6132,7294,6371,73962,95605,98769,60688,50885,57106,157327
"Corporate Governance, Industries",0,0,1293,2964,49951,8335,3237,13000,3068,3810,15205,13187,6656,8670,455
CSR,166,818,1525,2077,4312,36813,13083,12160,28189,49820,17476,20638,23495,34321,9622
E&C Program Management,0,0,0,211,1971,11605,11135,7177,30838,27727,36214,42275,20856,34881,37997
"E&C Program Management, HOW",0,0,0,0,0,0,0,0,149,27079,7583,16412,38567,7419,19966
"E&C Program Management, Industries",0,0,0,0,0,174,13,0,0,0,0,0,0,0,0
Employment,1029,13809,105892,168658,341805,512828,641189,689297,742729,662836,692648,694043,568227,486848,443556
"Employment, Corporate governance",0,399,944,1952,5230,3974,4148,1692,2141,1971,2246,1451,686,633,554
"Employment, Government Contracting & Relationships",0,592,7044,14499,15048,26186,25076,18665,27811,43206,39648,44500,40416,28124,30007
"Employment, Reporting & Investigations",0,0,0,0,0,0,0,0,48,1926,10571,8209,3296,5540,19624
Gifts & Entertainment,44,5528,7169,12552,17611,33081,35367,36320,37534,39422,41033,105624,64032,79074,43493
"Gifts & Entertainment, Industries",0,0,0,0,0,38,55,80,422,396,203,173,10,7,11
Government Contracting & Relationships,0,303,2616,11108,22625,34703,36309,35872,34992,52581,34624,29041,41584,93285,92631
HOW,0,0,23413,84184,111375,310482,472937,377895,286384,224219,308078,238388,214316,155741,138766
"HOW, Competition",0,0,0,0,0,0,0,0,0,0,127,238,24,13,14
"HOW, Corporate governance",0,0,201,458,3026,10494,10802,34584,22022,13619,10942,8987,7515,6546,4017
"HOW, CSR",0,0,0,0,0,0,0,0,306,12791,7904,3805,7067,6600,4299
"HOW, E&C Program Management",0,0,0,0,0,0,94,22909,34283,7447,1255,1114,1518,1700,957
"HOW, Employment",0,0,0,0,0,0,0,0,0,0,0,45,52,30,28
Industries,0,0,0,2,8,3,4833,2687,295,2172,2068,2407,3334,1160,1131
"Industries, Corporate Governance",0,0,0,44,1536,3223,5042,26557,15895,36844,20267,22103,13996,10045,9672
"Industries, Corporate Governance, Reporting & Investigations",0,0,0,0,0,0,0,0,0,0,0,134,79,673,281
Privacy & Data Protection,4551,53817,122443,166801,334777,525815,661727,900796,791555,582621,713325,834014,704982,647144,839848
"Privacy & Data Protection, HOW",0,0,0,0,0,0,0,0,0,0,0,0,0,1295,3168
"Privacy & Data Protection, Industries",0,0,0,920,252,23869,6815,11681,6883,11665,6063,33512,34429,10418,13841
"Privacy & Data Protection, Industries, Corporate Governance",0,0,0,0,0,0,0,0,0,0,0,0,49,10844,2940
Records Management,0,0,0,5342,1592,23553,24770,49905,123044,102103,43878,62960,105014,40356,27021
Reporting & Investigations,0,0,0,241,5639,10352,5733,3731,17769,35240,37195,39392,62324,68994,57183
"Reporting & Investigations, HOW",0,0,0,0,0,0,0,0,0,0,0,0,362,7012,6603
Securities & Insider Trading,0,2510,7599,45242,83220,95987,77505,109929,64279,66005,63153,79076,35578,81026,41006
"Securities & Insider Trading, Corporate Governance",0,3,62,963,1718,1564,2800,1362,1030,1264,1701,1063,781,1037,1467
"Securities & Insider Trading, Corporate Governance, Reporting & Investigations",0,0,0,0,0,8763,40943,12816,32225,34431,21763,14862,10663,8747,7438
"Securities & Insider Trading, Corporate Governance, Reporting & Investigations, HOW",1,0,0,0,4738,75597,14762,19030,17229,11558,10581,5971,4368,23103,4155
"Securities & Insider Trading, Government Contracting & Relationships",0,0,0,13,73,269,778,404,385,199,141,155,175,43,7851
"Securities & Insider Trading, HOW",0,0,171,622,518,4532,10707,291,130,411,32,42,18,11,15
"Securities & Insider Trading, Industries, Corporate Governance",0,0,0,8,12641,4353,42,99,777,1018,3084,768,141,82,52
"Social Media, Privacy & Data Protection",0,0,0,0,0,0,0,0,7,12842,20129,34442,41449,77257,108158
"Social Media, Privacy & Data Protection, HOW",0,0,0,0,0,0,0,0,22,5577,48418,18960,23940,52048,25163
Supply Chain,0,0,0,0,0,0,0,0,0,0,0,374,19926,5126,7076
"Supply Chain, Anti-Corruption & Bribery",0,0,0,0,0,0,0,0,0,0,0,0,0,1,657
"Supply Chain, CSR",0,0,0,0,0,0,0,0,0,0,0,554,84,512,1847
Trade Controls,0,30,6994,31250,29931,53501,88999,100672,95611,91716,96428,116352,101332,143555,123303
