Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,3,,,4,4,4,3,4,3,4
Albania,ALB,1,2,2,1,,,,,,3,4,6,6,7,4,4,4,5,5,3,6,6,5,6,7,6,7,7,7,7,6
Algeria,DZA,7,8,7,5,7,6,5,4,5,5,4,2,2,2,0,3,0,4,0,4,4,2,1,5,5,1,4,5,6,5,4
Andorra,AND,,,,,,,,,,,,,,,,,,,,,8,,8,8,8,8,8,8,8,8,8
Angola,AGO,5,2,2,3,5,4,3,4,1,3,1,,2,2,1,0,0,1,2,1,1,2,3,3,3,4,2,3,2,4,4
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,7,,7,7,7,7,7,7,7,7,7
Argentina,ARG,1,5,6,6,7,8,6,6,7,4,6,6,5,5,7,5,5,3,4,3,3,4,5,4,6,5,6,5,5,4,5
Armenia,ARM,,,,,,,,,,,,8,7,7,5,5,5,4,6,4,6,6,6,4,5,5,3,3,3,3,4
Australia,AUS,8,8,7,8,8,7,8,6,7,7,7,7,8,6,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
Austria,AUT,8,8,8,8,8,8,8,6,7,7,7,7,7,7,7,8,8,6,7,5,7,7,6,7,7,7,7,7,7,7,7
Azerbaijan,AZE,,,,,,,,,,,,4,3,3,4,3,3,4,5,4,5,4,3,3,2,2,2,3,3,3,3
Bahamas,BHS,,,,,,,,,,,,,,,,,,,,,7,,6,6,7,6,6,6,6,6,6
Bahrain,BHR,5,5,5,4,5,6,5,6,5,5,6,6,5,6,4,3,5,3,5,3,6,7,7,6,6,6,6,6,7,5,0
Bangladesh,BGD,5,4,4,5,4,5,4,4,5,3,4,1,5,3,3,3,4,3,4,2,4,1,0,1,0,1,0,1,1,2,2
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,7,,7,7,7,6,7,6,7,7,7
Belarus,BLR,,,,,,,,,,,,5,7,7,5,4,5,4,5,4,5,5,5,3,5,4,4,4,3,2,4
Belgium,BEL,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,8,8,7,8,8,8,7,7,7,8
Belize,BLZ,8,8,8,7,8,8,7,8,8,7,8,8,6,7,7,7,7,7,7,5,7,6,6,5,5,6,7,6,6,6,7
Benin,BEN,5,7,6,6,4,6,4,3,5,8,8,6,8,6,8,8,8,7,8,7,7,7,6,7,7,6,5,6,5,4,5
Bhutan,BTN,8,7,7,8,8,8,8,8,7,3,1,1,2,4,4,6,5,5,5,4,6,5,5,6,6,6,6,4,5,5,5
Bolivia,BOL,2,1,4,5,4,5,6,5,7,5,7,6,6,6,5,7,7,4,7,4,7,7,4,6,6,6,6,5,6,5,5
Bosnia Herzegovenia,BIH,,,,,,,,,,,,,,,,,,,,,6,6,6,7,7,7,6,7,6,6,6
Botswana,BWA,8,8,6,7,8,8,7,7,7,7,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,6,7,6,6,7,7
Brazil,BRA,4,4,5,4,5,5,4,5,4,3,4,3,3,4,2,4,4,2,4,2,3,4,4,4,4,2,4,4,3,4,2
Brunei,BRN,,,,6,7,7,7,6,6,6,6,6,7,6,6,7,7,6,8,7,8,8,8,8,8,7,8,8,8,8,8
Bulgaria,BGR,3,5,5,3,2,3,3,5,5,3,5,6,3,4,5,4,5,4,5,4,5,6,5,5,6,6,6,6,6,5,5
Burkina Faso,BFA,6,6,5,5,4,6,5,4,3,3,5,4,6,6,5,6,7,4,6,4,4,4,5,4,5,5,6,6,5,5,5
Burma,MMR,,6,4,5,5,4,1,0,0,2,2,3,1,3,2,2,1,1,1,0,1,3,0,1,1,0,0,0,1,1,1
Burundi,BDI,6,8,6,4,6,5,6,3,5,4,0,5,,,,1,0,0,1,1,1,0,0,0,3,1,3,1,3,2,2
Cambodia,KHM,,,,,,,,1,1,1,3,1,2,1,2,2,2,0,3,4,5,5,4,4,4,3,2,3,3,4,4
Cameroon,CMR,3,5,6,3,2,5,6,4,4,2,0,3,1,2,4,4,3,1,2,1,2,2,4,4,4,4,4,3,4,3,3
Canada,CAN,8,7,7,7,8,8,8,8,8,8,8,7,8,7,8,8,8,7,8,7,7,7,7,7,6,6,6,6,8,6,7
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,7,,7,7,7,7,7,7,7,7,7
Central African Republic,CAF,5,4,4,4,5,5,4,6,6,4,3,4,6,5,5,5,6,4,5,3,2,4,4,3,3,3,3,3,2,2,3
Chad,TCD,,,,0,2,2,4,5,1,0,3,1,1,3,3,3,2,1,3,3,3,4,4,2,2,2,4,2,2,4,3
Chile,CHL,1,3,3,1,3,3,2,4,2,3,5,4,3,5,4,5,5,2,4,4,6,8,6,6,7,7,7,5,5,7,5
China,CHN,2,3,2,2,4,3,4,2,0,2,4,3,3,0,0,3,2,2,2,3,2,1,1,1,0,1,1,1,0,0,0
Colombia,COL,1,3,,1,1,2,0,0,1,0,2,2,2,,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,1
Comoros,COM,,,,,,,,,,,,,,,,,,,,,8,,6,7,8,7,5,5,8,8,8
"Congo, Democratic Republic of",COD,,4,2,2,1,2,3,2,3,0,1,,,,,,,,,,0,2,1,1,2,1,1,1,1,1,0
"Congo, Republic of",COG,7,5,5,6,4,5,5,5,5,4,6,5,0,3,4,4,1,3,0,3,4,2,5,6,4,4,4,4,7,5,4
Costa Rica,CRI,8,8,8,7,8,8,8,8,8,8,8,5,8,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6
Cote d'Ivoire,CIV,8,8,7,8,8,8,7,7,7,5,5,3,4,4,1,4,5,3,3,1,2,3,2,2,2,2,3,3,3,2,2
Croatia,HRV,,,,,,,,,,,,2,2,4,2,7,8,5,7,6,6,7,7,7,7,8,8,6,6,5,8
Cuba,CUB,4,2,1,2,3,1,2,4,3,3,4,3,3,3,3,3,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4
Cyprus,CYP,7,8,8,6,8,8,7,8,8,7,5,7,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Czech Republic,CZE,,,,,,,,,,,,,8,6,5,8,8,7,8,7,8,8,7,6,7,7,7,7,7,8,8
Czechoslovakia,CZE,3,5,5,5,6,5,6,5,6,8,8,8,,,,,,,,,,,,,,,,,,,
Denmark,DNK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,6,8,7,8,8
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,6,,4,5,5,6,6,7,6,7,4
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,7,,7,7,6,7,6,7,7,8,8
Dominican Republic,DOM,7,6,7,6,7,6,6,8,7,5,5,4,5,2,4,4,4,2,4,4,4,5,4,4,4,3,4,4,4,4,4
